"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.684082400E-2,-3.591302410E-2,1.053448766E-1,9.797372818E0,9.798004972E0
5.884082400E-2,-3.351882473E-2,1.125274822E-1,9.797372818E0,9.798076346E0
6.084082400E-2,-3.830722719E-2,1.077390760E-1,9.797372818E0,9.798040074E0
6.284082400E-2,-3.830722719E-2,9.337386489E-2,9.792584419E0,9.793104499E0
6.484082400E-2,-3.591302410E-2,1.053448766E-1,9.799766541E0,9.800398540E0
6.684082400E-2,-4.309562966E-2,9.097966552E-2,9.787796021E0,9.788313720E0
6.884082400E-2,-4.309562966E-2,9.576806426E-2,9.780612946E0,9.781176736E0
7.084049000E-2,-4.788403213E-2,9.097966552E-2,9.785401344E0,9.785941429E0
7.284020400E-2,-3.830722719E-2,1.053448766E-1,9.794978142E0,9.795619520E0
7.483995400E-2,-3.830722719E-2,1.053448766E-1,9.797372818E0,9.798014040E0
7.683973100E-2,-4.788403213E-2,1.101332754E-1,9.792584419E0,9.793320776E0
7.883953100E-2,-4.070143029E-2,1.029506698E-1,9.787796021E0,9.788422058E0
8.083834900E-2,-3.351882473E-2,9.097966552E-2,9.785401344E0,9.785881681E0
8.283818200E-2,-4.309562966E-2,9.097966552E-2,9.778219223E0,9.778737429E0
8.483802800E-2,-4.548983276E-2,9.337386489E-2,9.780612946E0,9.781164429E0
8.683774200E-2,-4.309562966E-2,9.097966552E-2,9.780612946E0,9.781131025E0
8.883747500E-2,-2.873042040E-2,8.858546615E-2,9.775824547E0,9.776268122E0
9.083722500E-2,-3.351882473E-2,8.379705995E-2,9.773430824E0,9.773847530E0
9.283698900E-2,-3.591302410E-2,9.337386489E-2,9.775824547E0,9.776336430E0
9.483676600E-2,-3.591302410E-2,9.576806426E-2,9.783007622E0,9.783542272E0
9.683655500E-2,-3.591302410E-2,1.101332754E-1,9.783007622E0,9.783693434E0
9.883635500E-2,-4.309562966E-2,1.125274822E-1,9.771036148E0,9.771779115E0
1.008361640E-1,-4.788403213E-2,1.077390760E-1,9.768642426E0,9.769353890E0
1.028358910E-1,-4.548983276E-2,9.337386489E-2,9.773430824E0,9.773982713E0
1.048356300E-1,-3.112462163E-2,1.101332754E-1,9.785401344E0,9.786070588E0
1.068353800E-1,-3.591302410E-2,1.053448766E-1,9.792584419E0,9.793216882E0
1.088351400E-1,-4.070143029E-2,1.077390760E-1,9.794978142E0,9.795655216E0
1.108352930E-1,-4.070143029E-2,1.077390760E-1,9.794978142E0,9.795655216E0
1.128350700E-1,-4.548983276E-2,9.816227108E-2,9.785401344E0,9.785999419E0
1.148348550E-1,-4.070143029E-2,9.816227108E-2,9.785401344E0,9.785978332E0
1.168346480E-1,-4.070143029E-2,9.097966552E-2,9.773430824E0,9.773939021E0
1.188343810E-1,-3.351882473E-2,8.858546615E-2,9.780612946E0,9.781071541E0
1.208341140E-1,-3.112462163E-2,9.576806426E-2,9.783007622E0,9.783525867E0
1.228338470E-1,-3.830722719E-2,1.029506698E-1,9.775824547E0,9.776441677E0
1.248335800E-1,-4.070143029E-2,9.337386489E-2,9.775824547E0,9.776355193E0
1.268333130E-1,-3.830722719E-2,9.576806426E-2,9.780612946E0,9.781156811E0
1.288330460E-1,-3.830722719E-2,9.337386489E-2,9.799766541E0,9.800286239E0
1.308328460E-1,-3.351882473E-2,9.097966552E-2,9.799766541E0,9.800246173E0
1.328325790E-1,-3.351882473E-2,8.619125932E-2,9.794978142E0,9.795414705E0
1.348323120E-1,-3.112462163E-2,9.576806426E-2,9.792584419E0,9.793102158E0
1.368320450E-1,-3.351882473E-2,1.077390760E-1,9.792584419E0,9.793234442E0
1.388317780E-1,-4.309562966E-2,1.005564705E-1,9.787796021E0,9.788407418E0
1.408318780E-1,-3.351882473E-2,1.029506698E-1,9.785401344E0,9.786000297E0
1.428316110E-1,-2.873042040E-2,1.029506698E-1,9.785401344E0,9.785985068E0
1.448313440E-1,-4.788403213E-2,1.029506698E-1,9.785401344E0,9.786060044E0
1.468311440E-1,-4.548983276E-2,9.576806426E-2,9.785401344E0,9.785975696E0
1.488309100E-1,-4.309562966E-2,1.053448766E-1,9.790189743E0,9.790851341E0
1.508306760E-1,-3.351882473E-2,1.077390760E-1,9.794978142E0,9.795628005E0
1.528304420E-1,-3.112462163E-2,1.005564705E-1,9.799766541E0,9.800331861E0
1.548302080E-1,-3.351882473E-2,8.379705995E-2,9.794978142E0,9.795393931E0
1.568299740E-1,-3.112462163E-2,9.816227108E-2,9.785401344E0,9.785943186E0
1.588297400E-1,-3.591302410E-2,1.053448766E-1,9.790189743E0,9.790822360E0
1.608295060E-1,-4.070143029E-2,9.337386489E-2,9.787796021E0,9.788326017E0
1.628293390E-1,-4.070143029E-2,9.097966552E-2,9.778219223E0,9.778727171E0
1.648291720E-1,-3.351882473E-2,1.005564705E-1,9.783007622E0,9.783581821E0
