"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.031344730E-1,-7.900865376E-2,-3.351882473E-2,9.850045204E0,9.850419098E0
4.051404730E-1,-6.943184882E-2,-5.506663769E-2,9.921871185E0,9.922266925E0
4.071344730E-1,-6.703764945E-2,-5.506663769E-2,9.938630104E0,9.939008740E0
4.091314730E-1,-5.746084079E-2,-7.900865376E-2,9.991303444E0,9.991781054E0
4.111288060E-1,-4.788403213E-2,-8.140286058E-2,9.960178375E0,9.960626113E0
4.131268060E-1,-3.351882473E-2,-8.858546615E-2,9.948206902E0,9.948657771E0
4.151252060E-1,-2.154781483E-2,-8.619125932E-2,9.938630104E0,9.939027195E0
4.171238720E-1,-1.915361360E-2,-7.182604820E-2,9.964966774E0,9.965244034E0
4.191227290E-1,-9.576806799E-3,-4.788403213E-2,1.002242756E1,1.002254652E1
4.211217290E-1,-1.436521020E-2,-3.351882473E-2,1.000088024E1,1.000094673E1
4.231208400E-1,-1.915361360E-2,-2.633621916E-2,9.981725693E0,9.981778813E0
4.251200400E-1,-1.436521020E-2,-1.675941236E-2,9.938630104E0,9.938654616E0
4.271191300E-1,-1.675941236E-2,-1.675941236E-2,9.926659584E0,9.926687879E0
4.291182960E-1,9.576806799E-3,-2.873042040E-2,9.873987198E0,9.874033641E0
4.311175260E-1,3.112462163E-2,-3.591302410E-2,9.814131737E0,9.814246799E0
4.331168110E-1,3.591302410E-2,-4.070143029E-2,9.792584419E0,9.792734856E0
4.351161440E-1,2.394201700E-3,-7.182605099E-3,9.727940559E0,9.727943506E0
4.371155190E-1,-9.576806799E-3,-1.915361360E-2,9.646537781E0,9.646561550E0
4.391149300E-1,-1.675941236E-2,-2.633621916E-2,9.622595787E0,9.622646422E0
4.411143740E-1,-2.873042040E-2,-4.548983276E-2,9.622595787E0,9.622746201E0
4.431137420E-1,-1.915361360E-2,-5.746084079E-2,9.648932457E0,9.649122560E0
4.451131420E-1,-4.788403213E-2,-6.703764945E-2,9.783007622E0,9.783354489E0
4.471125700E-1,-6.464344263E-2,-7.422025502E-2,9.897929192E0,9.898418546E0
4.491120240E-1,-6.703764945E-2,-6.943184882E-2,9.950601578E0,9.951069620E0
4.511115020E-1,-5.506663769E-2,-7.661445439E-2,1.001524544E1,1.001568986E1
4.531110020E-1,-4.788403213E-2,-6.224924326E-2,1.002242756E1,1.002273526E1
4.551105220E-1,-3.591302410E-2,-4.548983276E-2,1.001763916E1,1.001780682E1
4.571100600E-1,-2.154781483E-2,-2.394201607E-2,9.981725693E0,9.981777664E0
4.591095410E-1,-1.915361360E-2,-1.197100803E-2,9.938630104E0,9.938655770E0
4.611090410E-1,-9.576806799E-3,-7.182605099E-3,9.866804123E0,9.866811385E0
4.631085580E-1,2.394201700E-3,9.576806799E-3,9.780612946E0,9.780617927E0
4.651080910E-1,7.182605099E-3,1.436521020E-2,9.735123634E0,9.735136883E0
4.671078240E-1,0.000000000E0,7.182605099E-3,9.744700432E0,9.744703079E0
4.691075570E-1,4.788403399E-3,0.000000000E0,9.773430824E0,9.773431997E0
4.711073570E-1,-4.788403399E-3,1.675941236E-2,9.835680008E0,9.835695452E0
4.731071570E-1,-4.070143029E-2,-7.182605099E-3,9.907505989E0,9.907592196E0
4.751068900E-1,-4.548983276E-2,-4.788403399E-3,9.929053307E0,9.929158666E0
4.771066230E-1,-3.351882473E-2,-3.591302410E-2,9.943418503E0,9.943539852E0
4.791063560E-1,-1.915361360E-2,-6.224924326E-2,9.929053307E0,9.929266911E0
4.811060890E-1,-1.915361360E-2,-7.422025502E-2,9.929053307E0,9.929349177E0
4.831058220E-1,-4.788403399E-3,-7.422025502E-2,9.924264908E0,9.924543593E0
4.851055550E-1,-7.182605099E-3,-4.788403213E-2,9.890746117E0,9.890864634E0
4.871053550E-1,-1.197100803E-2,-3.830722719E-2,9.833285332E0,9.833367234E0
4.891050880E-1,-2.394201700E-3,-3.112462163E-2,9.742305756E0,9.742355768E0
4.911048210E-1,-2.394201700E-3,-4.070143029E-2,9.720758438E0,9.720843942E0
4.931045540E-1,4.788403399E-3,-5.506663769E-2,9.708786964E0,9.708944308E0
4.951042870E-1,-9.576806799E-3,-5.267243832E-2,9.715970039E0,9.716117533E0
4.971045200E-1,-3.112462163E-2,-5.267243832E-2,9.747094154E0,9.747286165E0
4.991042530E-1,-4.548983276E-2,-3.830722719E-2,9.785401344E0,9.785582059E0
5.011039860E-1,-5.985504389E-2,-4.548983276E-2,9.787796021E0,9.788084741E0
5.031037860E-1,-7.661445439E-2,-5.267243832E-2,9.797372818E0,9.797813955E0
5.051035190E-1,-7.182604820E-2,-6.703764945E-2,9.806949615E0,9.807441756E0
5.071032520E-1,-6.224924326E-2,-5.506663769E-2,9.816526413E0,9.816878227E0
5.091029850E-1,-4.548983276E-2,-4.548983276E-2,9.830891609E0,9.831102099E0
5.111027180E-1,-3.591302410E-2,-3.830722719E-2,9.830891609E0,9.831031839E0
5.131024510E-1,-2.633621916E-2,-4.548983276E-2,9.802161217E0,9.802302150E0
5.151021840E-1,9.576806799E-3,-6.224924326E-2,9.830891609E0,9.831093353E0
5.171019170E-1,2.154781483E-2,-6.703764945E-2,9.847650528E0,9.847902278E0
5.191017170E-1,2.873042040E-2,-7.182604820E-2,9.881169319E0,9.881472134E0
5.211014500E-1,2.394201607E-2,-6.464344263E-2,9.972148895E0,9.972387156E0
5.231011830E-1,-2.394201700E-3,-7.182604820E-2,1.000566864E1,1.000592673E1
